"GEO_ID","id"
"NAME","Geographic Area Name"
"B07010_001E","Estimate!!Total"
"B07010_001M","Margin of Error!!Total"
"B07010_002E","Estimate!!Total!!No income"
"B07010_002M","Margin of Error!!Total!!No income"
"B07010_003E","Estimate!!Total!!With income"
"B07010_003M","Margin of Error!!Total!!With income"
"B07010_004E","Estimate!!Total!!With income!!$1 to $9,999 or loss"
"B07010_004M","Margin of Error!!Total!!With income!!$1 to $9,999 or loss"
"B07010_005E","Estimate!!Total!!With income!!$10,000 to $14,999"
"B07010_005M","Margin of Error!!Total!!With income!!$10,000 to $14,999"
"B07010_006E","Estimate!!Total!!With income!!$15,000 to $24,999"
"B07010_006M","Margin of Error!!Total!!With income!!$15,000 to $24,999"
"B07010_007E","Estimate!!Total!!With income!!$25,000 to $34,999"
"B07010_007M","Margin of Error!!Total!!With income!!$25,000 to $34,999"
"B07010_008E","Estimate!!Total!!With income!!$35,000 to $49,999"
"B07010_008M","Margin of Error!!Total!!With income!!$35,000 to $49,999"
"B07010_009E","Estimate!!Total!!With income!!$50,000 to $64,999"
"B07010_009M","Margin of Error!!Total!!With income!!$50,000 to $64,999"
"B07010_010E","Estimate!!Total!!With income!!$65,000 to $74,999"
"B07010_010M","Margin of Error!!Total!!With income!!$65,000 to $74,999"
"B07010_011E","Estimate!!Total!!With income!!$75,000 or more"
"B07010_011M","Margin of Error!!Total!!With income!!$75,000 or more"
"B07010_012E","Estimate!!Total!!Same house 1 year ago"
"B07010_012M","Margin of Error!!Total!!Same house 1 year ago"
"B07010_013E","Estimate!!Total!!Same house 1 year ago!!No income"
"B07010_013M","Margin of Error!!Total!!Same house 1 year ago!!No income"
"B07010_014E","Estimate!!Total!!Same house 1 year ago!!With income"
"B07010_014M","Margin of Error!!Total!!Same house 1 year ago!!With income"
"B07010_015E","Estimate!!Total!!Same house 1 year ago!!With income!!$1 to $9,999 or loss"
"B07010_015M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$1 to $9,999 or loss"
"B07010_016E","Estimate!!Total!!Same house 1 year ago!!With income!!$10,000 to $14,999"
"B07010_016M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$10,000 to $14,999"
"B07010_017E","Estimate!!Total!!Same house 1 year ago!!With income!!$15,000 to $24,999"
"B07010_017M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$15,000 to $24,999"
"B07010_018E","Estimate!!Total!!Same house 1 year ago!!With income!!$25,000 to $34,999"
"B07010_018M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$25,000 to $34,999"
"B07010_019E","Estimate!!Total!!Same house 1 year ago!!With income!!$35,000 to $49,999"
"B07010_019M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$35,000 to $49,999"
"B07010_020E","Estimate!!Total!!Same house 1 year ago!!With income!!$50,000 to $64,999"
"B07010_020M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$50,000 to $64,999"
"B07010_021E","Estimate!!Total!!Same house 1 year ago!!With income!!$65,000 to $74,999"
"B07010_021M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$65,000 to $74,999"
"B07010_022E","Estimate!!Total!!Same house 1 year ago!!With income!!$75,000 or more"
"B07010_022M","Margin of Error!!Total!!Same house 1 year ago!!With income!!$75,000 or more"
"B07010_023E","Estimate!!Total!!Moved within same county"
"B07010_023M","Margin of Error!!Total!!Moved within same county"
"B07010_024E","Estimate!!Total!!Moved within same county!!No income"
"B07010_024M","Margin of Error!!Total!!Moved within same county!!No income"
"B07010_025E","Estimate!!Total!!Moved within same county!!With income"
"B07010_025M","Margin of Error!!Total!!Moved within same county!!With income"
"B07010_026E","Estimate!!Total!!Moved within same county!!With income!!$1 to $9,999 or loss"
"B07010_026M","Margin of Error!!Total!!Moved within same county!!With income!!$1 to $9,999 or loss"
