DATE,MEHOINUSNYA672N
1984-01-01,52414
1985-01-01,54383
1986-01-01,56581
1987-01-01,57670
1988-01-01,60998
1989-01-01,63660
1990-01-01,60851
1991-01-01,59093
1992-01-01,56311
1993-01-01,56069
1994-01-01,55272
1995-01-01,55882
1996-01-01,58358
1997-01-01,57749
1998-01-01,59518
1999-01-01,62321
2000-01-01,61414
2001-01-01,61722
2002-01-01,60550
2003-01-01,60366
2004-01-01,61334
2005-01-01,62682
2006-01-01,62060
2007-01-01,61252
2008-01-01,60815
2009-01-01,60731
2010-01-01,59228
2011-01-01,58404
2012-01-01,53854
2013-01-01,55612
2014-01-01,59440
2015-01-01,63375
2016-01-01,66270
2017-01-01,64987
2018-01-01,69348
2019-01-01,72752
2020-01-01,68304
