"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Built 2005 or later","Margin of Error!!Total!!Built 2005 or later","Estimate!!Total!!Built 2000 to 2004","Margin of Error!!Total!!Built 2000 to 2004","Estimate!!Total!!Built 1990 to 1999","Margin of Error!!Total!!Built 1990 to 1999","Estimate!!Total!!Built 1980 to 1989","Margin of Error!!Total!!Built 1980 to 1989","Estimate!!Total!!Built 1970 to 1979","Margin of Error!!Total!!Built 1970 to 1979","Estimate!!Total!!Built 1960 to 1969","Margin of Error!!Total!!Built 1960 to 1969","Estimate!!Total!!Built 1950 to 1959","Margin of Error!!Total!!Built 1950 to 1959","Estimate!!Total!!Built 1940 to 1949","Margin of Error!!Total!!Built 1940 to 1949","Estimate!!Total!!Built 1939 or earlier","Margin of Error!!Total!!Built 1939 or earlier"
"1400000US36001000100","Census Tract 1, Albany County, New York","962","87","0","123","142","68","0","123","11","19","114","81","0","123","119","70","69","56","507","118"
"1400000US36001000200","Census Tract 2, Albany County, New York","3014","162","0","123","84","80","221","128","297","119","349","144","300","144","172","95","282","120","1309","229"
"1400000US36001000300","Census Tract 3, Albany County, New York","2823","120","0","123","93","88","18","27","337","105","301","136","200","116","277","93","209","121","1388","239"
"1400000US36001000401","Census Tract 4.01, Albany County, New York","1150","68","11","17","178","62","182","90","520","105","169","62","33","29","0","123","36","51","21","26"
"1400000US36001000403","Census Tract 4.03, Albany County, New York","2447","114","0","123","0","123","22","36","116","116","137","114","227","103","446","178","363","156","1136","199"
"1400000US36001000404","Census Tract 4.04, Albany County, New York","32","16","0","123","0","123","0","123","10","15","0","123","0","123","11","17","0","123","11","16"
"1400000US36001000501","Census Tract 5.01, Albany County, New York","1796","68","17","28","39","37","40","39","48","39","310","127","120","62","297","143","93","82","832","158"
"1400000US36001000502","Census Tract 5.02, Albany County, New York","1011","98","0","123","0","123","39","39","0","123","0","123","42","53","82","45","132","79","716","129"
"1400000US36001000600","Census Tract 6, Albany County, New York","1651","122","0","123","57","36","58","60","0","123","116","70","75","65","107","72","90","71","1148","181"
"1400000US36001000700","Census Tract 7, Albany County, New York","2090","96","0","123","0","123","75","70","45","41","151","72","115","77","121","53","118","66","1465","170"
"1400000US36001000800","Census Tract 8, Albany County, New York","1364","87","0","123","0","123","0","123","11","20","64","37","21","33","24","26","93","64","1151","115"
"1400000US36001001100","Census Tract 11, Albany County, New York","928","83","0","123","0","123","55","37","0","123","347","92","24","25","64","45","17","24","421","105"
"1400000US36001001400","Census Tract 14, Albany County, New York","2963","160","0","123","0","123","0","123","65","49","71","62","86","67","68","62","125","81","2548","180"
"1400000US36001001500","Census Tract 15, Albany County, New York","2435","152","0","123","15","25","61","59","94","63","140","57","57","44","61","47","193","106","1814","205"
"1400000US36001001600","Census Tract 16, Albany County, New York","2010","105","0","123","0","123","55","40","55","40","116","87","127","58","192","81","208","74","1257","140"
"1400000US36001001700","Census Tract 17, Albany County, New York","2043","98","0","123","11","18","25","26","43","46","211","97","236","108","276","106","294","111","947","148"
"1400000US36001001801","Census Tract 18.01, Albany County, New York","3588","152","0","123","64","62","363","107","348","121","499","148","315","131","934","177","537","142","528","128"
"1400000US36001001802","Census Tract 18.02, Albany County, New York","2184","88","16","25","14","23","91","54","194","127","455","118","384","107","371","113","333","134","326","121"
"1400000US36001001901","Census Tract 19.01, Albany County, New York","1292","55","0","123","12","20","0","123","21","24","6","10","98","59","152","58","107","55","896","97"
"1400000US36001001902","Census Tract 19.02, Albany County, New York","1273","59","0","123","0","123","0","123","18","22","34","26","120","67","314","104","133","56","654","114"
"1400000US36001002000","Census Tract 20, Albany County, New York","2569","150","5","19","0","123","30","36","52","46","107","72","193","123","155","94","236","113","1791","227"
"1400000US36001002100","Census Tract 21, Albany County, New York","1575","131","12","17","22","24","49","40","21","24","11","16","96","43","91","64","62","52","1211","170"
"1400000US36001002200","Census Tract 22, Albany County, New York","1681","99","0","123","9","16","14","23","20","22","126","68","129","100","147","95","46","40","1190","141"
"1400000US36001002300","Census Tract 23, Albany County, New York","1357","68","0","123","18","30","25","23","77","60","63","46","86","60","59","48","69","61","960","132"
