"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2014 or later","Margin of Error!!Total:!!Built 2014 or later","Estimate!!Total:!!Built 2010 to 2013","Margin of Error!!Total:!!Built 2010 to 2013","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier"
"1400000US36001000100","Census Tract 1, Albany County, New York","942","59","0","12","12","17","198","71","63","33","58","36","60","37","69","43","44","36","55","30","383","76"
"1400000US36001000200","Census Tract 2, Albany County, New York","3027","190","11","21","123","66","93","70","196","116","361","145","418","201","204","125","249","135","18","29","1354","238"
"1400000US36001000300","Census Tract 3, Albany County, New York","2981","148","0","17","0","17","8","15","156","100","331","171","376","232","125","82","366","191","272","127","1347","273"
"1400000US36001000401","Census Tract 4.01, Albany County, New York","1127","47","0","12","52","40","253","90","157","67","407","101","184","59","23","26","7","12","5","9","39","46"
"1400000US36001000403","Census Tract 4.03, Albany County, New York","2422","145","0","12","0","12","0","12","34","40","38","43","61","55","256","133","658","217","486","156","889","181"
"1400000US36001000404","Census Tract 4.04, Albany County, New York","75","68","47","73","0","17","0","17","0","17","0","17","0","17","13","20","15","22","0","17","0","17"
"1400000US36001000501","Census Tract 5.01, Albany County, New York","1643","97","8","12","0","12","0","12","0","12","0","12","462","142","190","94","146","96","129","91","708","114"
"1400000US36001000502","Census Tract 5.02, Albany County, New York","1046","54","0","12","0","12","12","19","4","7","35","27","106","58","51","33","172","56","27","22","639","79"
"1400000US36001000600","Census Tract 6, Albany County, New York","1776","99","0","12","0","12","0","12","190","103","65","57","32","31","154","90","62","64","161","96","1112","166"
"1400000US36001000700","Census Tract 7, Albany County, New York","2039","109","19","24","42","38","0","12","92","70","18","21","84","53","75","51","69","51","348","102","1292","149"
"1400000US36001000800","Census Tract 8, Albany County, New York","1214","86","18","29","0","12","0","12","0","12","36","36","76","57","145","77","25","29","74","47","840","112"
"1400000US36001001100","Census Tract 11, Albany County, New York","1088","57","28","20","22","20","14","14","7","10","39","30","366","68","43","24","48","39","0","12","521","105"
"1400000US36001001400","Census Tract 14, Albany County, New York","3074","206","0","12","27","32","0","12","0","12","112","78","191","124","91","74","40","48","151","118","2462","278"
"1400000US36001001500","Census Tract 15, Albany County, New York","2747","160","0","12","0","12","16","27","48","31","80","81","457","188","179","134","384","202","195","118","1388","304"
"1400000US36001001600","Census Tract 16, Albany County, New York","2112","114","14","22","0","12","0","12","22","28","113","73","140","81","235","94","221","101","236","101","1131","231"
"1400000US36001001700","Census Tract 17, Albany County, New York","2157","80","15","24","0","12","18","22","11","17","109","77","76","60","340","119","294","86","140","71","1154","170"
"1400000US36001001801","Census Tract 18.01, Albany County, New York","3524","138","0","17","93","64","63","57","239","112","393","123","550","169","587","198","632","153","487","171","480","148"
"1400000US36001001802","Census Tract 18.02, Albany County, New York","2070","81","0","12","26","39","79","62","45","38","156","70","391","110","449","116","476","113","180","79","268","92"
"1400000US36001001901","Census Tract 19.01, Albany County, New York","1257","52","0","12","0","12","0","12","20","23","0","12","65","48","103","62","155","78","104","47","810","120"
"1400000US36001001902","Census Tract 19.02, Albany County, New York","1200","38","0","12","0","12","0","12","10","16","15","23","17","20","167","83","350","99","198","79","443","103"
"1400000US36001002000","Census Tract 20, Albany County, New York","2762","149","0","17","0","17","125","125","100","87","13","20","18","27","201","141","334","207","154","105","1817","227"
"1400000US36001002100","Census Tract 21, Albany County, New York","1272","134","135","59","0","12","46","32","47","44","80","55","111","97","29","27","61","57","7","12","756","121"
"1400000US36001002200","Census Tract 22, Albany County, New York","1641","96","0","12","0","12","0","12","26","30","90","48","33","32","104","53","72","42","53","34","1263","102"
"1400000US36001002300","Census Tract 23, Albany County, New York","1299","91","10","15","0","12","13","22","49","51","63","53","38","32","41","43","132","77","0","12","953","134"
"1400000US36001002500","Census Tract 25, Albany County, New York","1879","107","51","37","57","56","0","12","34","30","68","60","118","60","174","88","128","65","155","72","1094","157"
"1400000US36001002600","Census Tract 26, Albany County, New York","2439","104","0","12","0","12","14","25","150","101","181","130","374","159","274","139","147","91","145","96","1154","176"
"1400000US36001012700","Census Tract 127, Albany County, New York","1465","113","51","40","266","112","123","71","147","57","18","18","13","13","21","21","121","61","76","48","629","118"
"1400000US36001012800","Census Tract 128, Albany County, New York","1934","118","14","23","17","15","138","55","24","22","8","13","125","82","63","44","264","93","60","51","1221","161"
"1400000US36001012900","Census Tract 129, Albany County, New York","2057","106","95","66","9","15","23","19","34","31","8","13","163","88","113","78","98","70","44","32","1470","134"
"1400000US36001013000","Census Tract 130, Albany County, New York","2917","171","112","68","52","36","231","87","91","57","174","93","589","146","197","78","272","112","224","108","975","185"
"1400000US36001013100","Census Tract 131, Albany County, New York","1441","136","0","12","9","14","197","81","140","60","26","24","51","36","0","12","193","74","62","45","763","131"
